Year,month,Kwai Tsing Container Terminals ( '000 TEUs),Other than Kwai Tsing Container Terminals ( '000 TEUs),Total ( '000 TEUs),Kwai Tsing Container Terminals (Year-on-year change %),Other than Kwai Tsing Container Terminals ( Year-on-year change %),Total ( Year-on-year change %)
2024,Sep,830,282,1112,-10,-1.9,-8.1
2024,Oct,876,271,1147,-0.6,3.5,0.4
2024,Nov,885,291,1176,-4.7,-2.1,-4.1
2024,Dec,871,317,1188,-2.5,-9.4,-4.4
2025,Jan,889,280,1169,-8.9,-3.8,-7.7
2025,Feb,774,228,1002,6.6,29.5,11.1
2025,Mar,921,282,1203,4.8,2.8,4.3
2025,Apr,879,257,1136,5.3,-7.4,2.2
2025,May,794,278,1071,-14.4,-1,-11.3
2025,Jun,725,271,996,-14,-3.5,-11.4
2025,Jul,819,287,1106,-2.9,-7.4,-4.1
2025,Aug,780,266,1047,-9.2,-6.6,-8.5
2025,Sep,706,242,948,-15,-14,-14.7
2025,Oct,807,289,1096,-7.8,6.5,-4.4
2025,Nov,775,296,1071,-12.5,1.9,-9
2025,Dec,789,360,1149,-9.4,13.5,-3.3
2026,Jan,807,302,1109,-9.3,8.1,-5.1
2026,Feb,687,235,922,-11.3,3.1,-8
2026,Mar,842,295,1137,-8.6,4.7,-5.5
